Titular;Medio;URL;Enviado;Publicado;Meneos;Clicks;Positivos;Anonimos;Negativos;Comentarios;Karma
9 reproductores de MP3 a examen;revista.consumer.es;https://old.meneame.net/story/9-reproductores-de-mp3-a-examen;1134206232;1134223201;21;;21;0;0;1;50
SMS gratis;86400.es;https://old.meneame.net/story/sms-gratis;1134208710;1134219901;43;;43;0;0;1;51
Yahoo compra del.icio.us;error500.net;https://old.meneame.net/story/yahoo-compra-delicious-1;1134173456;1134216602;29;;29;0;4;2;49
Galeon y epiphany se casan;cheli.immoprestigi.com;https://old.meneame.net/story/galeon-y-epiphany-se-casan;1134182691;1134213302;22;;22;0;0;3;51
Más privilegios para los funcionarios ¿Son lícitos?;votoenblanco.com;https://old.meneame.net/story/mas-privilegios-para-los-funcionarios-son-licitos;1134002047;1134210001;17;;17;0;1;4;50
Google Earth para Mac OS X;google.dirson.com;https://old.meneame.net/story/google-earth-para-mac-os-x;1134157911;1134206701;20;;20;0;1;2;51
Meneando bookmarks: Diggdot.us;diggdot.us;https://old.meneame.net/story/meneando-bookmarks-diggdotus;1134170398;1134202802;15;;15;0;1;4;40
¡Muera la Constitución!;e-dazibao.com;https://old.meneame.net/story/muera-la-constitucion;1133951472;1134198601;28;;28;0;2;8;41
Teléfono móvil para detectar cáncer de pecho;blog.batiburrillo.net;https://old.meneame.net/story/telefono-movil-para-detectar-cancer-de-pecho;1134167093;1134194701;15;;15;0;1;0;42
Magnatuneasy en coma!;kilior.blogspot.com;https://old.meneame.net/story/magnatuneasy-en-coma;1134157709;1134190801;19;;19;0;1;2;43
Nuevo test de velocidad de conexión a Internet;adslzone.net;https://old.meneame.net/story/nuevo-test-de-velocidad-de-conexion-a-internet;1134127508;1134186901;28;;28;0;1;2;50
Symfony: Open Source PHP5 web framework;symfony-project.com;https://old.meneame.net/story/symfony-open-source-php5-web-framework;1134158248;1134183602;13;;13;0;0;0;52
El que tenga oídos...;pordeciralgo.net;https://old.meneame.net/story/el-que-tenga-oidos;1134172513;1134180602;27;;27;0;0;0;57
Diseños webs/CSS libres;mitago.net;https://old.meneame.net/story/disenos-webscss-libres;1134170396;1134180602;53;;53;0;0;1;53
Configurar COMPOSITE y RENDER en Debian Sid;pacoros.net;https://old.meneame.net/story/configurar-composite-y-render-en-debian-sid;1134164756;1134180602;25;;25;0;0;0;53
Microsoft da las gracias a Google;google.dirson.com;https://old.meneame.net/story/microsoft-da-las-gracias-a-google;1134157802;1134177601;18;;18;0;1;1;51
La MPA perseguirá a las páginas con partituras y letras de canciones;elotrolado.net;https://old.meneame.net/story/la-mpa-perseguira-a-las-paginas-con-partituras-y-letras-de-canciones;1134168481;1134174002;22;;22;0;0;4;52
La mayor parte de los dominios de Internet estan registrados con datos falsos;quands.info;https://old.meneame.net/story/la-mayor-parte-de-los-dominios-de-internet-estan-registrados-con-datos-falsos;1134133982;1134171002;24;;24;0;0;0;51
Wikitravel: Un Wiki con todas las guías de viaje;microsiervos.com;https://old.meneame.net/story/wikitravel-un-wiki-con-todas-las-guias-de-viaje;1134158086;1134171001;22;;22;0;0;0;53
El robo del Bolero;escolar.net;https://old.meneame.net/story/el-robo-del-bolero;1134152546;1134168002;27;;27;0;0;1;54
Protección de CDs, el camino al spyware;freedom-to-tinker.com;https://old.meneame.net/story/proteccion-de-cds-el-camino-al-spyware;1134146685;1134168002;22;;22;0;0;0;56
Regalos absurdos para estas navidades;tecnorantes.com;https://old.meneame.net/story/regalos-absurdos-para-estas-navidades;1134142889;1134168002;21;;21;0;0;0;55
Preparant un WRT54GL i posant-lo en mode client genèric per connectar-lo a guifi;guifi.net;https://old.meneame.net/story/preparant-un-wrt54gl-i-posant-lo-en-mode-client-generic-per-connectar-lo-a-guifi;1134148100;1134165302;17;;17;0;0;1;61
Jueces para la Democracia: los datos retenidos,  sólo bajo control judicial;internautas.org;https://old.meneame.net/story/jueces-para-la-democracia-los-datos-retenidos-solo-bajo-control-judicial;1134154323;1134163202;26;;26;0;0;2;62
Arte, verdad y política, traducción del discurso del dramaturgo Harold Pinter;escolar.net;https://old.meneame.net/story/arte-verdad-y-politica-traduccion-del-discurso-del-dramaturgo-harold-pinter;1134124489;1134161149;38;;38;0;0;0;62
Yahoo! compra del.icio.us;blog.del.icio.us;https://old.meneame.net/story/yahoo-compra-delicious;1134155855;1134159301;59;;59;0;0;4;73
Atlas climático de la Península Ibérica;ccablog.blogspot.com;https://old.meneame.net/story/atlas-climatico-de-la-peninsula-iberica;1134149385;1134157202;30;;30;0;0;0;53
Denken Über: Un paseo por Yahoo! Mail Beta;uberbin.net;https://old.meneame.net/story/denken-uber-un-paseo-por-yahoo-mail-beta;1134127516;1134154202;30;;30;0;0;0;42
Fuentes de instalación más comunes para SUSE 10.0;linuxblogger.dyndns.org;https://old.meneame.net/story/fuentes-de-instalacion-mas-comunes-para-suse-100;1134076528;1134150601;27;;27;0;0;0;32
HowToForge: How To Set Up Database Replication In MySQL;howtoforge.com;https://old.meneame.net/story/howtoforge-how-to-set-up-database-replication-in-mysql;1134130411;1134142501;25;;25;0;0;0;51
Ni copyright ni copyleft, socialismo;filmica.com;https://old.meneame.net/story/ni-copyright-ni-copyleft-socialismo;1134136080;1134139501;30;;30;0;0;1;53
Thunderbird con pestañas al estilo Firefox;genbeta.com;https://old.meneame.net/story/thunderbird-con-pestanas-al-estilo-firefox;1134128313;1134135901;40;;40;0;0;0;32
150 Gbps, nuevo récord de transferencia;fnal.gov;https://old.meneame.net/story/150-gbps-nuevo-record-de-transferencia-1;1134115090;1134127201;20;;20;0;0;0;51
Steinmeier sabía, desde el 2004, del secuestro de el-Masri por parte de la CIA;alemaniaeconomiasociedadyderecho.blogspirit.com;https://old.meneame.net/story/steinmeier-sabia-desde-el-2004-del-secuestro-de-el-masri-por-parte-de-la-cia;1133954923;1134124145;33;;33;0;0;0;32
Carrera por el Acid Test;navegadores.org;https://old.meneame.net/story/carrera-por-el-acid-test;1134095188;1134119401;41;;41;0;0;1;44
No es la contaminación: agitación en la universidad iraní, noticia a seguir;vidadeprofesor.blogia.com;https://old.meneame.net/story/no-es-la-contaminacion-agitacion-en-la-universidad-irani-noticia-a-seguir;1134078014;1134115801;31;;31;0;0;0;50
Buenos y malos;edans.blogspot.com;https://old.meneame.net/story/buenos-y-malos;1134093709;1134111902;26;;26;0;0;1;42
